"","permafrost","LONG","LAT"
"1","none",18.5115,68.1933
"2","none",18.49582,68.20462
"3","none",18.812886,68.358087
"4","none",18.8356,68.3284
"5","none",18.8417,68.3244
"6","none",18.858,68.3145
"7","none",18.863,68.3133
"8","continuous",16.018237,78.174119
"9","continuous",16.021313,78.17192
"10","continuous",16.029034,78.171112
"11","continuous",16.054887,78.168357
"12","continuous",16.052656,78.170617
"13","continuous",16.061398,78.171784
"14","continuous",16.067786,78.172873
"15","none",-17.97208,65.59293
"16","none",-18.1559,65.56427
"17","none",-18.0768,65.51392
"18","none",-18.24216,65.44984
"19","none",-18.22637,65.50548
"20","continuous",-75.78341,78.87448
"21","continuous",-75.90053,78.86221
"22","continuous",-75.90385,78.86192
"23","continuous",-75.7826,78.8719
"24","continuous",-75.79107,78.87107
"25","continuous",-75.80909,78.87558
"26","continuous",-75.79867,78.87421
"27","continuous",-149.3521345,68.4746405
"28","continuous",-149.352222,68.4759725
"29","continuous",-149.319503,68.454758
"30","continuous",-143.626875,69.70312
"31","continuous",-143.616045,69.71159
"32","continuous",-157.4073879,70.45373011
"33","continuous",-157.403942,70.451449
"34","continuous",-157.4003018,70.45303348
"35","continuous",-157.414293,70.456021
"36","none",-19.71319,65.21748
"37","continuous",-64.69,66.88
"38","continuous",-156.64,71.29
"39","continuous",-156.6010247,71.31502696
"40","continuous",-156.592799,71.310312
"41","continuous",-156.5978987,71.31051842
"42","continuous",16.45535,78.71061
"43","none",-20.22768,65.50305
"44","none",-20.22503,65.50146
"45","continuous",-143.7246513,68.5734993
"46","continuous",-79.9044525,73.1682958
"47","continuous",-79.9843858,73.1399267
"48","none",-19.30559,65.78468
"49","none",-19.02952,65.77321
"50","none",-19.04222,65.77286
"51","none",-19.36136,65.80262
"52","continuous",-111.5666667,64.86666667
"53","discontinuous",-53.45,69.27
"54","discontinuous",-53.78,69.43
"55","continuous",15.74496,78.18557
"56","none",-6.95,62.066667
"57","none",7.5197935,60.61497203
"58","none",12.6375,61.63542
"59","none",-20.26565,64.06638
"60","none",-20.27764,64.03843
"61","none",-20.59859,64.22035
"62","none",-20.56942,63.97814
"63","none",-20.54624,65.08352
"64","none",-20.58339,65.06794
"65","none",-20.58907,65.07728
"66","none",-20.43913,65.22778
"67","none",-20.4487,65.23772
"68","continuous",-81.53,69.389
"69","continuous",-23.97807302,71.58566298
"70","continuous",-24.05517697,71.39768296
"71","continuous",-24.34597897,71.49365399
"72","continuous",-24.225714,71.05257704
"73","none",20.8199,69.068
"74","discontinuous",-138.2666667,61.21666667
"75","sporadic",18.49531,68.35572
"76","sporadic",18.49756,68.35683
"77","sporadic",18.49,68.35
"78","none",18.65,68.35
"79","sporadic",18.4913635,68.3551536
"80","none",12.34458,62.10253
"81","none",12.27236,62.11508
"82","none",-18.10823,65.93894
"83","none",-18.21928,65.73728
"84","none",-18.27375,65.77726
"85","none",-18.28029,65.76853
"86","sporadic",23.845139,68.834417
"87","sporadic",23.80475,68.837306
"88","sporadic",23.821889,68.835083
"89","none",-45.4,61.16
"90","sporadic",-51.3831,64.1361
"91","sporadic",-18.69754,65.46684
"92","sporadic",-18.69386,65.46596
"93","none",-18.90435,65.48131
"94","continuous",16.19464,78.64935
"95","continuous",-138.86347,69.57488
"96","continuous",-138.86774,69.57646
"97","continuous",-76.48755,81.39631
"98","none",17.53611,67.77306
"99","continuous",15.934,78.19
"100","continuous",15.93,78.19
"101","continuous",15.934124,78.1899916
"102","continuous",16.04,78.1
"103","none",-21.06941,64.28083
"104","sporadic",-18.6,64.57
"105","none",-20.16786,63.5641
"106","none",-21.15821,63.98622
"107","none",-21.16772,63.97085
"108","continuous",-149.61,68.62
"109","continuous",-149.28,68.62
"110","none",-135.13,61.56
"111","continuous",-20.52895,74.47427
"112","continuous",-20.54284746,74.47510333
"113","continuous",-20.54053855,74.47508063
